ngl,Centre/location,Product code,Category,Sub-Category,Product title,Description,material,dimension (H*W*B),sizes/capacity,colors,Care Instruction,Features,Stock available,Sample photo,Cost B2C,Min. and Maximum ordering quantity,Cost B2B,Mininum and Maximum ordering quantity,Centre Poc name,Centre poc contact no.,Remark,,S.no.,Centre Name,Total beneficiaries at present,Beneficiary Testimonial,,,Centre testimonial
206,Boraband,JMB206,Shopping bag,Hand bag,Jute bag,"This is a handmade, durable, orange coloured handbag. It is made of jute. The dimensions of the bag are 15*18*7. The product features zipper closure. This easily carryable handbag is perfect for shopping, temples etc.",Jute,15*18*7,1,Orange,,,1,,150,,,,,,,,,,,,,,
207,Boraband,JVB207,Vegetable bag,Maket bag,Jute bag,"This is a handmade, durable, green coloured vegetable bag. It is made of jute. The dimensions of the bag are 15*17*4. This easily carryable vegetable bag can also be used as a handbag.",Jute,15*17*4,1,Green,,,1,,100,,,,,,,,,,,,,,
208,Boraband,JFB208,File folder,Laptop bag,Jute bag,"This is a handmade, durable, maroon laptop bag. It is made of jute. The dimensions of the bag are 11*16. It has magnetic closure. It features zipper pocket inside the bag to carry files.",Jute,11*16,1,Maroon,,,1,,100,,,,,,,,,,,,,,
209,Boraband,JLB209,Lunch bag,market bag,Jute bag,"This is a handmade, durable, cream and green coloured lunch bag. It is made of jute. The dimensions of the bag are 10*11*7.  It has zipper enclosure. This easily carryable lunch bag is perfect for schools, colleges, offices, picnics etc.",Jute,10*11*7,1,Light Green,,,1,,100,,,,,,,,,,,,,,
210,Boraband,JSHB210,Small hand bag,Hand bag,Jute bag,"This is a handmade, durable, green coloured handbag. It is made of jute. The dimensions of the bag are 7*9*2. The product features zipper closure. This easily carryable handbag is perfect for shopping, temples etc.",Jute,7*9*2,1,Green and maroon,,,1,,50,,,,,,,,,,,,,,
211,Boraband,H211,Hanging,Hanging ,Hanging ,"This is a beautiful handmade, durable, purple coloured macrame hanging. It is embellished with beads. It is perfect for home and office spaces.",Makeram,H19,,Purple,,,1,,,,,,,,,,,,,,,,
212,Boraband,H212,Pot light Hanging,Hanging ,Hanging ,"This is a beautiful handmade, durable, sea green coloured pot light macrame hanging. It is embellished with red and yellow coloured beads. It is perfect for home and office spaces.",Makeram,H35,,Red and Yellow stone and light green,,,1,,800,,,,,,,,,,,,,,
213,Boraband,H213,Circle shape Hanging,Hanging,Hanging ,"This is a beautiful handmade, durable, green coloured macrame hanging. It is embellished with pink coloured beads. It is perfect for home and office spaces.",Makeram,H30,,Green and pink,,,1,,,,,,,,,,,,,,,,
214,Boraband,H214,Circle shape Hanging,Hanging,Hanging ,"This is a beautiful handmade, durable, orange coloured macrame hanging. It is embellished with sky blue coloured beads. It is perfect for home and office spaces.",Makeram,H32,,Orange and Blue,,,1,,1100,,,,,,,,,,,,,,
215,Boraband,H215,Circle shape Hanging,Hanging,Hanging ,"This is a beautiful handmade, durable, orange coloured macrame hanging. It is embellished with light green coloured beads. It is perfect for home and office spaces.",Makeram,H32,,Orange and Light green,,,1,,,,,,,,,,,,,,,,
216,Boraband,H216,Pot light Hanging,Hanging,Hanging ,"This is a beautiful handmade, durable, orange coloured pot light macrame hanging. It is embellished with light green coloured beads. It is perfect for home and office spaces.",Makeram,H35,,Orange and Purple,,,1,,800,,,,,,,,,,,,,,
217,Boraband,WHM217,Wall Hanging mirror,Hanging,Hanging ,"This is a beautiful handmade, durable, light blue coloured macrame mirror wall hanging. It is embellished with cream and pink coloured beads. It is perfect for home.",Makeram,H37,,Light blue and pink,,,4,,1500,,,,,,,,,,,,,,
218,Pune,PH218,Pot light Hanging,Hanging,Hanging ,"This is a beautiful handmade, durable, baby pink coloured pot light macrame hanging. It is embellished with baby pink and white coloured beads. It is perfect for home and office spaces.",Makeram,H39,,Pink ,,,1,,800,,,,,,,,,,,,,,
219,Pune,H219,Circle shape Hanging,Hanging,Hanging ,"This is a beautiful handmade, durable, baby pink and cream coloured macrame hanging. It is embellished with white coloured beads. It is perfect for home and office spaces.",Makeram,H26,,Off white and Pink,,,1,,700,,,,,,,,,,,,,,
220,Pune,H220,Square Shape Hanging,Hanging,Hanging ,"This is a beautiful handmade, durable, cream coloured macrame hanging. It is embellished with green and red coloured beads. It is perfect for home and office spaces.",Makeram,H31,,Yellow and green with red Stones,,,1,,700,,,,,,,,,,,,,,
221,Pune,H221,Circle shape Hanging,Hanging,Hanging ,"This is a beautiful handmade, durable, orange coloured macrame hanging. It is embellished with green and white coloured beads. It is perfect for home and office spaces.",Makeram,H40,,Orange and white,,,1,,,,,,,,,,,,,,,,
222,Pune,HP222,Hand purse,purse,Jute bag,"This is a handmade, durable, light green coloured wallet. It is made of jute. The dimensions of the product are 10*10. It has magnetic closure. The product features a zipper pocket inside and is easily carryable in hand.",Jute,10*10,,Light green,,,1,,100,,,,,,,,,,,,,,
223,Pune,S223,Sticker box,Sticker box,Sticker box,"This is a handmade, durable, diya shaped sticker box. It features three compartments for storing different stickers. It is perfect to use for travel.",,,,White moties ,,,1,,50,,,,,,,,,,,,,,
224,Pune,S224,Sticker box,Sticker box,Sticker box,"This is a handmade, durable, urn (kalasham) shaped sticker box. It features three compartments for storing different stickers. It is perfect to use for travel.",,,,White moties ,,,1,,50,,,,,,,,,,,,,,
225,Pune,DH225,Hanging,Hanging,Hanging ,"This is a handmade, durable, beads hanging. This hanging can be used for photo frames, god photos, god idols",Moties,W43,,White and golden ,,,1,,300,,,,,,,,,,,,,,
226,Pune,SSH226,Saree Side Hanging,Hanging,Hanging ,"This is a handmade, durable, beads saree hanging. This is perfect to use on sarees, lehengas etc.",Moties,H8,,White and Golden ,,,2,,150,,,,,,,,,,,,,,
227,Pune,SSH227,Saree Side Hanging,Hanging,Hanging ,"This is a handmade, durable, beads saree hanging. This is perfect to use on sarees, lehengas etc.",Moties,H10,,White and Golden ,,,1,,150,,,,,,,,,,,,,,
228,Pune,SSH228,Saree Side Hanging,Hanging,Hanging ,"This is a handmade, durable, beads saree hanging. This is perfect to use on sarees, lehengas etc.",Moties,H8,,White and Golden ,,,1,,150,,,,,,,,,,,,,,
229,Pune,DSH229,Door Side hanging,Hanging,Hanging ,"This is a handmade, durable, beads hanging. This is perfect to use for door entrances at home and offices.",Moties,H37,,White and Golden ,,,2,,150,,,,,,,,,,,,,,
230,Pune,S230,Sticker box,Sticker box,Sticker box,"This is a handmade, durable, peacock shaped green colour sticker box. It is embellished with beads and pearls. It features three compartments for storing different stickers. It is perfect to use for travel.",Moties,,,Green ,,,1,,50,,,,,,,,,,,,,,
231,Pune,S231,Sticker box,Sticker box,Sticker box,"This is a handmade, durable, peacock shaped red colour sticker box. It is embellished with beads and pearls. It features three compartments for storing different stickers. It is perfect to use for travel.",Moties,,,Red,,,1,,50,,,,,,,,,,,,,,
